@RELATION fitness

@ATTRIBUTE attribute_predictions STRING
@ATTRIBUTE objectsFound STRING
@ATTRIBUTE class {fitness}

@DATA
"no horizon, man-made, enclosed area, cloth, natural light, indoor lighting, open area, working, stressful","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, open area, scary, natural light, aged, matte","catacomb",fitness
"man-made, no horizon, enclosed area, cloth, metal, working, natural light, open area, indoor lighting","?",fitness
"man-made, no horizon, natural light, cloth, competing, enclosed area, open area, sports, exercise","martial_arts_gym, boxing_ring",fitness
"enclosed area, no horizon, man-made, indoor lighting, competing, cloth, sports, exercise, glossy","gymnasium/indoor",fitness
"no horizon, cloth, man-made, enclosed area, natural light, open area, working, dry, warm","beauty_salon",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, competing, socializing, dry, natural light","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, working, open area, competing, paper","booth/indoor",fitness
"no horizon, man-made, enclosed area, cloth, working, natural light, competing, shopping, stressful","martial_arts_gym",fitness
"no horizon, man-made, cloth, enclosed area, natural light, dry, open area, warm, aged","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, competing, working, open area, cold","?",fitness
"man-made, no horizon, cloth, natural light, open area, congregating, sunny, socializing, working","booth/indoor",fitness
"no horizon, man-made, enclosed area, indoor lighting, competing, sports, metal, glossy, natural light","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, working, competing, stressful, glossy","?",fitness
"man-made, no horizon, cloth, enclosed area, competing, indoor lighting, sports, natural light, working","?",fitness
"no horizon, man-made, open area, indoor lighting, enclosed area, natural light, natural, working, glossy","?",fitness
"no horizon, man-made, cloth, natural light, enclosed area, open area, competing, glossy, sports","beauty_salon",fitness
"no horizon, man-made, enclosed area, indoor lighting, open area, grass, natural light, vegetation, trees","jail_cell",fitness
"no horizon, man-made, cloth, enclosed area, indoor lighting, socializing, dry, congregating, stressful","beauty_salon",fitness
"cloth, no horizon, man-made, enclosed area, working, indoor lighting, natural light, open area, stressful","beauty_salon",fitness
"no horizon, man-made, cloth, natural light, enclosed area, working, open area, indoor lighting, socializing","beauty_salon, booth/indoor",fitness
"no horizon, man-made, enclosed area, cloth, natural light, dry, open area, warm, sunny","beauty_salon",fitness
"open area, natural light, cloth, sunny, no horizon, man-made, warm, dry, far-away horizon","volleyball_court/outdoor",fitness
"no horizon, natural light, open area, man-made, cloth, sunny, natural, flowers, shopping","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, dry, warm, congregating, socializing","?",fitness
"man-made, no horizon, enclosed area, indoor lighting, working, glossy, natural light, open area, metal","amusement_arcade",fitness
"no horizon, man-made, enclosed area, working, metal, cloth, natural light, stressful, using tools","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, still water, swimming, glossy, moist, wood","?",fitness
"no horizon, man-made, brick, enclosed area, natural light, aged, cloth, dry, indoor lighting","?",fitness
"no horizon, indoor lighting, man-made, enclosed area, natural, open area, spectating, natural light, moist","?",fitness
"no horizon, man-made, indoor lighting, enclosed area, open area, natural, natural light, scary, moist","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, indoor lighting, plastic, paper, wood","booth/indoor",fitness
"man-made, enclosed area, open area, natural light, no horizon, far-away horizon, sunny, indoor lighting, cloth","booth/indoor",fitness
"man-made, no horizon, cloth, natural light, open area, indoor lighting, enclosed area, spectating, competing","?",fitness
"no horizon, man-made, cloth, enclosed area, natural light, competing, sports, spectating, indoor lighting","?",fitness
"man-made, no horizon, enclosed area, natural light, open area, working, cloth, congregating, indoor lighting","?",fitness
"no horizon, cloth, man-made, natural light, cluttered space, plastic, enclosed area, shopping, open area","toyshop",fitness
"man-made, no horizon, natural light, cloth, competing, open area, sports, enclosed area, exercise","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, working, stressful, competing, matte","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, working, natural light, metal, using tools","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, congregating, socializing, open area, spectating","?",fitness
"no horizon, enclosed area, cloth, man-made, cold, natural light, snow, natural, open area","beauty_salon",fitness
"no horizon, man-made, cloth, plastic, enclosed area, natural light, shopping, cluttered space, open area","toyshop",fitness
"no horizon, man-made, cloth, natural light, enclosed area, vertical components, open area, working, dry","?",fitness
"no horizon, cloth, man-made, plastic, enclosed area, natural light, shopping, warm, competing","toyshop",fitness
"no horizon, man-made, cloth, natural light, enclosed area, open area, indoor lighting, working, dry","beauty_salon",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, plastic, working, competing, open area","amusement_arcade",fitness
"no horizon, man-made, enclosed area, indoor lighting, glossy, metal, cloth, working, transporting","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, competing, metal, exercise, working, sports","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, working, metal, indoor lighting, stressful, using tools","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, vertical components, working, glossy, metal","beauty_salon",fitness
"no horizon, man-made, open area, natural light, cloth, enclosed area, dry, sunny, natural","beauty_salon",fitness
"man-made, no horizon, enclosed area, natural light, cloth, open area, cold, competing, working","?",fitness
"enclosed area, no horizon, man-made, indoor lighting, working, glossy, cloth, glass, metal","beauty_salon, gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, metal, working, using tools, competing, stressful","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, sports, exercise, glossy","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, working, glossy, stressful, paper","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, working, natural light, cloth, transporting, stressful","?",fitness
"no horizon, man-made, enclosed area, competing, indoor lighting, cloth, natural light, sports, spectating","?",fitness
"no horizon, man-made, natural light, open area, touring, diving, swimming, cloth, warm","water_park",fitness
"natural light, open area, cloth, sunny, man-made, vegetation, foliage, clouds, warm","?",fitness
"man-made, no horizon, enclosed area, natural light, indoor lighting, plastic, open area, cloth, touring","?",fitness
"no horizon, enclosed area, indoor lighting, man-made, cloth, working, competing, scary, stressful","?",fitness
"no horizon, man-made, natural light, cloth, open area, cluttered space, aged, enclosed area, working","?",fitness
"no horizon, enclosed area, indoor lighting, man-made, cloth, socializing, warm, dry, stressful","discotheque",fitness
"man-made, cloth, no horizon, natural light, open area, sunny, shopping, enclosed area, plastic","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, plastic, glossy, working, paper","booth/indoor",fitness
"man-made, no horizon, cloth, natural light, congregating, socializing, open area, stressful, enclosed area","?",fitness
"no horizon, cloth, man-made, enclosed area, natural light, open area, dry, warm, working","beauty_salon, dressing_room",fitness
"man-made, no horizon, metal, competing, exercise, enclosed area, sports, natural light, cloth","gymnasium/indoor, martial_arts_gym",fitness
"no horizon, man-made, enclosed area, indoor lighting, metal, working, competing, glossy, using tools","boxing_ring",fitness
"grass, natural light, open area, man-made, no horizon, sunny, cloth, competing, vegetation","?",fitness
"no horizon, man-made, natural light, open area, plastic, cloth, shopping, enclosed area, competing","?",fitness
"no horizon, enclosed area, cloth, man-made, indoor lighting, working, stressful, congregating, socializing","?",fitness
"man-made, natural light, open area, sunny, no horizon, clouds, competing, cloth, warm","?",fitness
"no horizon, enclosed area, man-made, cloth, working, indoor lighting, metal, using tools, competing","gymnasium/indoor, beauty_salon",fitness
"natural light, open area, no horizon, man-made, sunny, natural, far-away horizon, rugged scene, warm","?",fitness
"man-made, no horizon, enclosed area, indoor lighting, natural light, touring, glossy, open area, cloth","?",fitness
"no horizon, man-made, cloth, enclosed area, natural light, working, open area, indoor lighting, sunny","booth/indoor",fitness
"man-made, natural light, open area, sunny, no horizon, warm, far-away horizon, cluttered space, enclosed area","?",fitness
"no horizon, enclosed area, man-made, cloth, natural light, warm, indoor lighting, glossy, dry","?",fitness
"no horizon, enclosed area, man-made, cloth, competing, sports, exercise, indoor lighting, stressful","boxing_ring, martial_arts_gym",fitness
"no horizon, man-made, enclosed area, competing, sports, indoor lighting, cloth, spectating, exercise","arena/performance",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, metal, working, glossy, competing","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, competing, cloth, metal, exercise, sports, working","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, natural light, cloth, wood, glass, working, metal","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, competing, cloth, sports, working, metal","martial_arts_gym",fitness
"man-made, no horizon, enclosed area, cloth, working, metal, natural light, plastic, indoor lighting","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, competing, working, metal, glossy","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, natural light, cloth, open area, sunny, warm, competing","martial_arts_gym",fitness
"man-made, natural light, open area, sunny, clouds, far-away horizon, metal, wood, vertical components","?",fitness
"no horizon, enclosed area, man-made, cloth, metal, working, indoor lighting, using tools, plastic","beauty_salon",fitness
"no horizon, man-made, enclosed area, metal, cloth, working, competing, glossy, natural light","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, glossy, cloth, working, metal, glass","gymnasium/indoor, beauty_salon",fitness
"no horizon, enclosed area, man-made, cloth, natural light, reading, wood, glass, working","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, metal, working, using tools, stressful","television_studio, gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, metal, working, using tools, cloth, vertical components, natural light","gymnasium/indoor",fitness
"no horizon, enclosed area, competing, swimming, sports, boating, man-made, still water, exercise","martial_arts_gym",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, working, plastic, metal, natural light","gas_station, gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, competing, glossy, metal","martial_arts_gym, gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, indoor lighting, metal, glossy, glass, working, cloth","beauty_salon",fitness
"no horizon, man-made, enclosed area, working, cloth, metal, glossy, glass, indoor lighting","gymnasium/indoor, beauty_salon",fitness
"no horizon, man-made, enclosed area, cloth, metal, working, competing, natural light, exercise","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, working, metal, cloth, using tools, indoor lighting, stressful","gymnasium/indoor",fitness
"man-made, no horizon, natural light, cloth, open area, competing, sports, enclosed area, sunny","martial_arts_gym, boxing_ring",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, competing, sports, exercise, working","martial_arts_gym",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, working, competing, stressful, training","beauty_salon",fitness
"natural light, man-made, no horizon, open area, grass, trees, foliage, vegetation, cloth","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, working, exercise, wood","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, metal, working, exercise","jail_cell",fitness
"man-made, no horizon, enclosed area, metal, cloth, competing, working, sports, exercise","stage/outdoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, glossy, matte, competing","?",fitness
"no horizon, enclosed area, man-made, cloth, metal, working, competing, stressful, natural light","gymnasium/indoor",fitness
"no horizon, man-made, natural light, cloth, enclosed area, metal, vertical components, competing, glass","?",fitness
"no horizon, enclosed area, man-made, cloth, working, indoor lighting, metal, stressful, competing","television_studio",fitness
"no horizon, man-made, competing, enclosed area, cloth, sports, exercise, metal, working","martial_arts_gym, gymnasium/indoor, boxing_ring",fitness
"no horizon, cloth, man-made, enclosed area, competing, sports, exercise, natural light, stressful","arena/performance",fitness
"no horizon, man-made, enclosed area, natural light, metal, cloth, glossy, indoor lighting, glass","bus_interior, gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, cloth, wood, competing, indoor lighting, exercise, sports","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, cloth, wood, natural light, indoor lighting, competing, reading","martial_arts_gym",fitness
"enclosed area, no horizon, man-made, metal, indoor lighting, glossy, working, glass, horizontal components","bus_interior",fitness
"no horizon, man-made, enclosed area, indoor lighting, metal, competing, exercise, sports, cloth","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, working, indoor lighting, cloth, metal, glossy, plastic","gymnasium/indoor",fitness
"no horizon, man-made, cloth, enclosed area, indoor lighting, competing, natural light, sports, exercise","?",fitness
"enclosed area, no horizon, man-made, cloth, competing, sports, exercise, indoor lighting, natural light","?",fitness
"enclosed area, no horizon, man-made, indoor lighting, working, metal, cloth, glossy, exercise","gymnasium/indoor",fitness
"no horizon, man-made, grass, enclosed area, cloth, natural light, competing, playing, open area","office_cubicles",fitness
"enclosed area, no horizon, man-made, cloth, metal, competing, working, indoor lighting, glossy","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, competing, indoor lighting, sports, exercise, metal","shower",fitness
"enclosed area, no horizon, man-made, indoor lighting, working, metal, competing, exercise, glossy","gymnasium/indoor",fitness
"natural light, open area, cloth, man-made, no horizon, sunny, far-away horizon, enclosed area, warm","?",fitness
"no horizon, man-made, enclosed area, cloth, working, indoor lighting, metal, glossy, competing","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, competing, sports, exercise, glossy, matte","gymnasium/indoor, martial_arts_gym",fitness
"natural light, man-made, open area, trees, foliage, leaves, no horizon, vegetation, vertical components","rope_bridge",fitness
"man-made, natural light, no horizon, trees, open area, foliage, leaves, vegetation, cloth","kennel/outdoor",fitness
"no horizon, man-made, enclosed area, metal, working, cloth, wood, indoor lighting, glass","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, working, indoor lighting, metal, stressful, using tools","beauty_salon",fitness
"no horizon, man-made, indoor lighting, enclosed area, open area, spectating, scary, dry, natural light","stage/indoor",fitness
"man-made, enclosed area, no horizon, metal, natural light, working, glossy, cloth, indoor lighting","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, indoor lighting, open area, natural light, vertical components, warm, dry","?",fitness
"no horizon, man-made, enclosed area, natural light, glass, metal, glossy, matte, working","ticket_booth",fitness
"no horizon, man-made, enclosed area, natural light, open area, indoor lighting, dry, cloth, working","?",fitness
"man-made, enclosed area, no horizon, cloth, working, competing, congregating, indoor lighting, exercise","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, sports, vertical components, glossy","jail_cell",fitness
"natural light, man-made, no horizon, open area, enclosed area, metal, cold, exercise, matte","?",fitness
"no horizon, cloth, man-made, natural light, enclosed area, dry, shopping, warm, plastic","beauty_salon",fitness
"man-made, no horizon, enclosed area, indoor lighting, natural light, glossy, plastic, paper, open area","?",fitness
"man-made, natural light, open area, cloth, no horizon, sunny, plastic, competing, sports","?",fitness
"no horizon, man-made, cloth, natural light, enclosed area, competing, sports, open area, exercise","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, cloth, wood, indoor lighting, metal, working, glossy","gymnasium/indoor",fitness
"no horizon, man-made, cloth, enclosed area, natural light, working, stressful, competing, metal","?",fitness
"no horizon, man-made, enclosed area, natural light, cloth, dry, warm, sunny, open area","?",fitness
"no horizon, man-made, enclosed area, open area, natural light, cloth, natural, dry, indoor lighting","?",fitness
"no horizon, man-made, enclosed area, natural light, metal, cloth, vertical components, aged, wire","jail_cell",fitness
"no horizon, natural light, open area, man-made, dry, dirty, aged, pavement, concrete","?",fitness
"no horizon, man-made, cloth, enclosed area, indoor lighting, socializing, shopping, waiting in line, touring","?",fitness
"man-made, no horizon, natural light, metal, enclosed area, open area, matte, glossy, working","?",fitness
"no horizon, enclosed area, cloth, man-made, natural light, soothing, stressful, dirty, working","veterinarians_office",fitness
"no horizon, cloth, enclosed area, man-made, congregating, natural light, socializing, working, stressful","dressing_room",fitness
"no horizon, cloth, man-made, enclosed area, competing, sports, exercise, natural light, working","dressing_room",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, working, glossy, metal, stressful","?",fitness
"no horizon, man-made, competing, sports, enclosed area, indoor lighting, cloth, exercise, natural light","arena/performance",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, plastic, shopping, socializing","?",fitness
"no horizon, man-made, enclosed area, cloth, plastic, indoor lighting, spectating, congregating, playing","?",fitness
"no horizon, man-made, cloth, enclosed area, natural light, competing, open area, sports, warm","locker_room",fitness
"no horizon, cloth, man-made, natural light, open area, enclosed area, sunny, warm, plastic","beauty_salon",fitness
"no horizon, man-made, enclosed area, indoor lighting, glossy, cloth, natural light, matte, metal","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, competing, stressful, paper","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, working, open area, plastic, paper","beauty_salon, booth/indoor",fitness
"no horizon, cloth, man-made, natural light, enclosed area, competing, open area, sports, working","beauty_salon",fitness
"no horizon, man-made, enclosed area, natural light, cloth, warm, aged, open area, dry","beauty_salon",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, competing, stressful, spectating, working","orchestra_pit",fitness
"no horizon, man-made, enclosed area, indoor lighting, spectating, competing, glossy, metal, matte","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, dry, working, open area, aged","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, metal, competing, stressful","?",fitness
"cloth, natural light, no horizon, man-made, open area, competing, sunny, cold, sports","stage/outdoor",fitness
"no horizon, man-made, enclosed area, cloth, working, indoor lighting, natural light, congregating, stressful","?",fitness
"man-made, no horizon, enclosed area, natural light, wood, glossy, matte, plastic, open area","beauty_salon",fitness
"cloth, no horizon, man-made, working, enclosed area, medical activity, stressful, sterile, research","clean_room, pharmacy",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, working, glossy, competing, stressful","?",fitness
"no horizon, enclosed area, man-made, cloth, working, indoor lighting, stressful, aged, scary","?",fitness
"natural light, no horizon, open area, cloth, man-made, sunny, swimming, warm, touring","water_park",fitness
"no horizon, natural light, open area, man-made, sunny, warm, natural, diving, cloth","?",fitness
"no horizon, natural light, man-made, cloth, open area, warm, enclosed area, foliage, trees","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, open area, indoor lighting, competing, working","boxing_ring",fitness
"no horizon, man-made, natural light, open area, cloth, enclosed area, moist, natural, metal","?",fitness
"no horizon, man-made, cloth, enclosed area, competing, sports, natural light, exercise, congregating","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, trees, foliage, soothing, natural light, leaves","?",fitness
"man-made, no horizon, natural light, cloth, open area, touring, boating, warm, sunny","?",fitness
"man-made, no horizon, enclosed area, natural light, open area, dry, sunny, metal, working","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, glossy, competing, working, stressful","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, competing, glossy, working, sports","beauty_salon",fitness
"no horizon, man-made, cloth, enclosed area, natural light, indoor lighting, competing, touring, warm","?",fitness
"no horizon, cloth, enclosed area, man-made, indoor lighting, working, stressful, warm, competing","beauty_salon",fitness
"man-made, no horizon, natural light, cloth, open area, cold, enclosed area, snow, working","?",fitness
"no horizon, cloth, man-made, enclosed area, natural light, open area, indoor lighting, warm, socializing","beauty_salon, booth/indoor",fitness
"no horizon, man-made, cloth, natural light, enclosed area, competing, sports, vertical components, open area","elevator/door",fitness
"no horizon, man-made, enclosed area, indoor lighting, glossy, metal, working, transporting, stressful","?",fitness
"no horizon, man-made, indoor lighting, enclosed area, open area, natural light, far-away horizon, cloth, competing","?",fitness
"man-made, no horizon, indoor lighting, enclosed area, open area, spectating, vertical components, natural light, competing","arena/performance, home_theater",fitness
"no horizon, enclosed area, indoor lighting, man-made, cloth, working, shopping, socializing, competing","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, stressful, paper, plastic","beauty_salon",fitness
"no horizon, man-made, cloth, natural light, enclosed area, open area, working, paper, plastic","beauty_salon",fitness
"man-made, no horizon, cloth, natural light, competing, sports, open area, enclosed area, indoor lighting","arena/performance",fitness
"no horizon, man-made, enclosed area, shopping, plastic, working, competing, indoor lighting, cloth","fastfood_restaurant",fitness
"open area, natural light, no horizon, man-made, natural, far-away horizon, cloth, boating, moist","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, socializing, working, stressful, competing","discotheque",fitness
"natural light, man-made, open area, cloth, no horizon, sunny, grass, competing, sports","?",fitness
"man-made, no horizon, enclosed area, working, cloth, metal, indoor lighting, stressful, natural light","?",fitness
"man-made, natural light, no horizon, open area, competing, sports, exercise, grass, trees","kennel/outdoor, volleyball_court/outdoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, working, metal, sports","martial_arts_gym",fitness
"enclosed area, no horizon, man-made, indoor lighting, cloth, glossy, matte, metal, competing","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, indoor lighting, competing, cloth, metal, working, glossy","martial_arts_gym, gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, competing, indoor lighting, sports, exercise, training","martial_arts_gym",fitness
"man-made, no horizon, enclosed area, cloth, competing, sports, exercise, indoor lighting, natural light","?",fitness
"no horizon, man-made, enclosed area, wood, cloth, natural light, glass, soothing, reading","sauna",fitness
"natural light, open area, grass, man-made, vegetation, trees, foliage, sunny, playing","playground",fitness
"man-made, no horizon, enclosed area, cloth, competing, open area, natural light, sports, asphalt","boxing_ring",fitness
"no horizon, man-made, grass, enclosed area, natural light, cloth, competing, working, sports","office_cubicles",fitness
"no horizon, enclosed area, man-made, indoor lighting, metal, working, cloth, glossy, vertical components","?",fitness
"no horizon, enclosed area, man-made, metal, working, glossy, cloth, competing, using tools","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, grass, competing, playing, sports, exercise, natural light","recreation_room",fitness
"man-made, no horizon, natural light, cloth, competing, sports, open area, enclosed area, exercise","martial_arts_gym",fitness
"no horizon, man-made, enclosed area, natural light, cloth, plastic, driving, pavement, wood","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, metal, glossy, glass","gymnasium/indoor",fitness
"man-made, natural light, no horizon, open area, metal, wood, vertical components, sunny, shingles","barndoor",fitness
"no horizon, enclosed area, man-made, indoor lighting, glossy, cloth, working, competing, metal","martial_arts_gym, gymnasium/indoor",fitness
"enclosed area, man-made, no horizon, natural light, wood, open area, reading, far-away horizon, dry","beauty_salon",fitness
"natural light, man-made, open area, no horizon, grass, sunny, wood, vegetation, warm","boardwalk",fitness
"no horizon, enclosed area, man-made, cloth, working, metal, indoor lighting, using tools, competing","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, competing, sports, exercise, glossy","gymnasium/indoor, martial_arts_gym",fitness
"no horizon, enclosed area, man-made, metal, cloth, indoor lighting, working, competing, glossy","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, metal, glossy, working, matte, using tools","?",fitness
"no horizon, enclosed area, man-made, cloth, competing, indoor lighting, sports, natural light, exercise","gymnasium/indoor, boxing_ring",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, working, glossy, exercise","gymnasium/indoor, beauty_salon",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, competing, glossy, stressful","martial_arts_gym, boxing_ring",fitness
"no horizon, man-made, natural light, wood, enclosed area, cloth, metal, open area, fencing","barndoor",fitness
"no horizon, enclosed area, man-made, metal, competing, working, indoor lighting, cloth, exercise","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, competing, sports, indoor lighting, exercise, working","?",fitness
"no horizon, man-made, enclosed area, metal, indoor lighting, glossy, working, using tools, horizontal components","?",fitness
"no horizon, man-made, natural light, enclosed area, cloth, wood, metal, working, glass","?",fitness
"no horizon, enclosed area, man-made, cloth, metal, vertical components, working, railing, wood","jail_cell",fitness
"no horizon, man-made, enclosed area, metal, working, cloth, using tools, natural light, vertical components","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, glass, working, metal, competing, wood","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, working, indoor lighting, competing, natural light, stressful","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, spectating, scary, aged, congregating","?",fitness
"man-made, no horizon, indoor lighting, enclosed area, competing, cloth, open area, plastic, natural light","amusement_arcade",fitness
"no horizon, man-made, natural light, cloth, enclosed area, open area, shopping, plastic, dry","?",fitness
"natural light, man-made, cloth, no horizon, open area, warm, sunny, enclosed area, dry","beauty_salon",fitness
"cloth, man-made, no horizon, natural light, open area, enclosed area, working, stressful, cold","booth/indoor",fitness
"no horizon, man-made, cloth, natural light, enclosed area, open area, working, competing, sunny","beauty_salon",fitness
"no horizon, man-made, enclosed area, indoor lighting, competing, glossy, sports, natural light, exercise","?",fitness
"natural light, no horizon, open area, man-made, cold, snow, ice, cloth, far-away horizon","ice_shelf",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, shopping, working, competing, plastic","?",fitness
"man-made, no horizon, enclosed area, plastic, metal, natural light, matte, working, glossy","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, plastic, natural light, competing, touring","?",fitness
"natural light, cloth, no horizon, man-made, open area, grass, vegetation, sunny, foliage","beauty_salon",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, spectating, scary, competing, stressful","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, dry, congregating, competing, natural light","?",fitness
"man-made, no horizon, natural light, open area, cloth, sunny, far-away horizon, warm, dry","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, indoor lighting, competing, sunny, warm","beauty_salon",fitness
"no horizon, cloth, enclosed area, man-made, working, indoor lighting, natural light, warm, dry","beauty_salon",fitness
"man-made, no horizon, enclosed area, natural light, cloth, plastic, open area, matte, metal","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, dry, warm, working, paper","?",fitness
"natural light, open area, man-made, no horizon, vegetation, foliage, sunny, leaves, grass","?",fitness
"no horizon, cloth, enclosed area, man-made, plastic, indoor lighting, shopping, competing, paper","toyshop",fitness
"man-made, no horizon, enclosed area, cloth, indoor lighting, natural light, gaming, working, plastic","amusement_arcade, phone_booth",fitness
"man-made, no horizon, natural light, cloth, open area, enclosed area, far-away horizon, socializing, warm","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, competing, socializing, spectating, working","beauty_salon",fitness
"man-made, no horizon, natural light, open area, plastic, enclosed area, competing, playing, sunny","?",fitness
"no horizon, man-made, cloth, enclosed area, natural light, working, paper, plastic, wood","beauty_salon",fitness
"man-made, no horizon, open area, natural light, indoor lighting, enclosed area, far-away horizon, metal, dry","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, stressful, plastic, competing","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, competing, stressful, wood","?",fitness
"no horizon, man-made, cloth, natural light, open area, enclosed area, indoor lighting, working, stressful","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, aged, scary, metal, dirty, rusty","catacomb",fitness
"man-made, no horizon, indoor lighting, enclosed area, open area, spectating, competing, natural light, congregating","home_theater",fitness
"no horizon, enclosed area, man-made, indoor lighting, metal, cloth, working, glossy, stressful","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, glossy, competing, working, metal","martial_arts_gym",fitness
"no horizon, man-made, natural light, cloth, open area, trees, foliage, leaves, competing","?",fitness
"no horizon, man-made, natural light, cloth, enclosed area, competing, open area, sports, exercise","martial_arts_gym",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, glossy, spectating, glass, congregating","?",fitness
"man-made, natural light, open area, clouds, sunny, far-away horizon, boating, no horizon, metal","?",fitness
"cloth, man-made, natural light, no horizon, open area, working, sunny, clouds, enclosed area","?",fitness
"enclosed area, man-made, no horizon, working, cloth, metal, indoor lighting, using tools, wood","gymnasium/indoor",fitness
